date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:19	219495/219495	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:27%20GMT	https://www.microsoft.com/pt-pt/store/b/business	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/b/business.html	(from https://www.microsoft.com/pt-pt/)
00:32:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202022%2000:32:28%20GMT	https://www.microsoft.com/pt-pt/store/apps/windows?icid=CNavAppsWindowsApps	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/apps/windowsa6e5	(from https://www.microsoft.com/pt-pt/)
00:32:20	396093/396093	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:29%20GMT	https://www.microsoft.com/pt-pt/store/b/xbox?icid=CNavDevicesXbox	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/b/xbox30cb.html	(from https://www.microsoft.com/pt-pt/)
00:32:21	357413/357413	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:31%20GMT	https://www.microsoft.com/pt-pt/store/b/accessories?icid=CNavDevicesAccessories	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/b/accessories3d24.html	(from https://www.microsoft.com/pt-pt/)
00:32:22	227/227	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202022%2000:32:31%20GMT	https://www.microsoft.com/pt-pt/p/xbox-game-pass-ultimate/cfq7ttc0khs0?WT.mc_id=CNavGamesXboxGamePassUltimate	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/p/xbox-game-pass-ultimate/cfq7ttc0khs0.19ae88.delayed	(from https://www.microsoft.com/pt-pt/)
00:32:22	210/210	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202022%2000:32:32%20GMT	https://www.microsoft.com/pt-pt/p/xbox-live-gold/cfq7ttc0k5dj?WT.mc_id=CNavGamesXboxLiveGold	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/p/xbox-live-gold/cfq7ttc0k5dj479a	(from https://www.microsoft.com/pt-pt/)
00:32:24	461840/461840	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:33%20GMT	https://www.microsoft.com/pt-pt/store/top-paid/games/xbox	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/top-paid/games/xbox.html	(from https://www.microsoft.com/pt-pt/)
00:32:29	318348/318348	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:38%20GMT	https://www.microsoft.com/pt-pt/store/games/windows?icid=CNavGamesWindowsGames	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/games/windows817a.html	(from https://www.microsoft.com/pt-pt/)
00:32:30	400398/400398	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:40%20GMT	https://www.microsoft.com/pt-pt/store/games/windows?icid=TopNavWindowsGames	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/store/games/windows9037.html	(from https://www.microsoft.com/pt-pt/)
00:32:30	170/170	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Nov%202022%2000:32:40%20GMT	https://www.microsoft.com/microsoft-cloud	C:/My%20Web%20Sites/microsoft/www.microsoft.com/microsoft-cloud	(from https://www.microsoft.com/pt-pt/)
00:32:32	228379/228379	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:41%20GMT	https://www.microsoft.com/pt-pt/microsoft-cloud?rtc=1	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/microsoft-cloud53a7.html	(from https://www.microsoft.com/pt-pt/)
00:32:32	163/163	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Nov%202022%2000:32:41%20GMT	https://www.microsoft.com/security	C:/My%20Web%20Sites/microsoft/www.microsoft.com/security	(from https://www.microsoft.com/pt-pt/)
00:32:33	127249/127249	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:42%20GMT	https://www.microsoft.com/pt-pt/security?rtc=1	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/security53a7.html	(from https://www.microsoft.com/pt-pt/)
00:32:33	177/177	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Nov%202022%2000:32:42%20GMT	https://www.microsoft.com/microsoft-365/business	C:/My%20Web%20Sites/microsoft/www.microsoft.com/microsoft-365/business	(from https://www.microsoft.com/pt-pt/)
00:32:35	646541/646541	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:44%20GMT	https://www.microsoft.com/pt-pt/microsoft-365/business?rtc=1	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/microsoft-365/business53a7.html	(from https://www.microsoft.com/pt-pt/)
00:32:35	163/163	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Nov%202022%2000:32:44%20GMT	https://www.microsoft.com/industry	C:/My%20Web%20Sites/microsoft/www.microsoft.com/industry	(from https://www.microsoft.com/pt-pt/)
00:32:36	188040/188040	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:45%20GMT	https://www.microsoft.com/pt-pt/industry?rtc=1	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/industry53a7.html	(from https://www.microsoft.com/pt-pt/)
00:32:36	166/166	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Nov%202022%2000:32:46%20GMT	https://www.microsoft.com/windows-365	C:/My%20Web%20Sites/microsoft/www.microsoft.com/windows-365	(from https://www.microsoft.com/pt-pt/)
00:32:37	135080/135080	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:46%20GMT	https://www.microsoft.com/pt-pt/windows-365?rtc=1	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/windows-36553a7.html	(from https://www.microsoft.com/pt-pt/)
00:32:38	113224/113224	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:47%20GMT	https://www.microsoft.com/pt-pt/download/default.aspx	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/download/default.html	(from https://www.microsoft.com/pt-pt/)
00:32:38	140616/140616	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:32:48%20GMT	https://www.microsoft.com/pt-pt/education?icid=CNavMSCOML0_Studentsandeducation	C:/My%20Web%20Sites/microsoft/www.microsoft.com/pt-pt/educationa2a7.html	(from https://www.microsoft.com/pt-pt/)
